registered,instant,cnt,windspeed,yr,weathersit,casual,dteday,atemp,mnth,hum,temp,weekday,workingday,season,holiday
654,1,985,0.160446,0,2,331,2011-01-01,0.363625,1,0.805833,0.344167,6,0,1,0
670,2,801,0.248539,0,2,131,2011-01-02,0.353739,1,0.696087,0.363478,0,0,1,0
1229,3,1349,0.248309,0,1,120,2011-01-03,0.189405,1,0.437273,0.196364,1,1,1,0
1454,4,1562,0.160296,0,1,108,2011-01-04,0.212122,1,0.590435,0.2,2,1,1,0
1518,5,1600,0.1869,0,1,82,2011-01-05,0.22927,1,0.436957,0.226957,3,1,1,0
1518,6,1606,0.0895652,0,1,88,2011-01-06,0.233209,1,0.518261,0.204348,4,1,1,0
1362,7,1510,0.168726,0,2,148,2011-01-07,0.208839,1,0.498696,0.196522,5,1,1,0
891,8,959,0.266804,0,2,68,2011-01-08,0.162254,1,0.535833,0.165,6,0,1,0
768,9,822,0.36195,0,1,54,2011-01-09,0.116175,1,0.434167,0.138333,0,0,1,0
1280,10,1321,0.223267,0,1,41,2011-01-10,0.150888,1,0.482917,0.150833,1,1,1,0
1220,11,1263,0.122132,0,2,43,2011-01-11,0.191464,1,0.686364,0.169091,2,1,1,0
1137,12,1162,0.304627,0,1,25,2011-01-12,0.160473,1,0.599545,0.172727,3,1,1,0
1368,13,1406,0.301,0,1,38,2011-01-13,0.150883,1,0.470417,0.165,4,1,1,0
1367,14,1421,0.126548,0,1,54,2011-01-14,0.188413,1,0.537826,0.16087,5,1,1,0
1026,15,1248,0.157963,0,2,222,2011-01-15,0.248112,1,0.49875,0.233333,6,0,1,0
953,16,1204,0.188433,0,1,251,2011-01-16,0.234217,1,0.48375,0.231667,0,0,1,0
883,17,1000,0.194017,0,2,117,2011-01-17,0.176771,1,0.5375,0.175833,1,0,1,1
674,18,683,0.146775,0,2,9,2011-01-18,0.232333,1,0.861667,0.216667,2,1,1,0
1572,19,1650,0.208317,0,2,78,2011-01-19,0.298422,1,0.741739,0.292174,3,1,1,0
1844,20,1927,0.195904,0,2,83,2011-01-20,0.25505,1,0.538333,0.261667,4,1,1,0
1468,21,1543,0.353242,0,1,75,2011-01-21,0.157833,1,0.457083,0.1775,5,1,1,0
888,22,981,0.17197,0,1,93,2011-01-22,0.0790696,1,0.4,0.0591304,6,0,1,0
836,23,986,0.2466,0,1,150,2011-01-23,0.0988391,1,0.436522,0.0965217,0,0,1,0
1330,24,1416,0.15833,0,1,86,2011-01-24,0.11793,1,0.491739,0.0973913,1,1,1,0
1799,25,1985,0.129796,0,2,186,2011-01-25,0.234526,1,0.616957,0.223478,2,1,1,0
472,26,506,0.29385,0,3,34,2011-01-26,0.2036,1,0.8625,0.2175,3,1,1,0
416,27,431,0.113837,0,1,15,2011-01-27,0.2197,1,0.6875,0.195,4,1,1,0
1129,28,1167,0.1233,0,2,38,2011-01-28,0.223317,1,0.793043,0.203478,5,1,1,0
975,29,1098,0.145365,0,1,123,2011-01-29,0.212126,1,0.651739,0.196522,6,0,1,0
956,30,1096,0.0739826,0,1,140,2011-01-30,0.250322,1,0.722174,0.216522,0,0,1,0
1459,31,1501,0.187192,0,2,42,2011-01-31,0.18625,1,0.60375,0.180833,1,1,1,0
1313,32,1360,0.053213,0,2,47,2011-02-01,0.23453,2,0.829565,0.192174,2,1,1,0
1454,33,1526,0.264308,0,2,72,2011-02-02,0.254417,2,0.775417,0.26,3,1,1,0
1489,34,1550,0.277752,0,1,61,2011-02-03,0.177878,2,0.437826,0.186957,4,1,1,0
1620,35,1708,0.127839,0,2,88,2011-02-04,0.228587,2,0.585217,0.211304,5,1,1,0
905,36,1005,0.161079,0,2,100,2011-02-05,0.243058,2,0.929167,0.233333,6,0,1,0
1269,37,1623,0.1418,0,1,354,2011-02-06,0.291671,2,0.568333,0.285833,0,0,1,0
1592,38,1712,0.0454083,0,1,120,2011-02-07,0.303658,2,0.738333,0.271667,1,1,1,0
1466,39,1530,0.36195,0,1,64,2011-02-08,0.198246,2,0.537917,0.220833,2,1,1,0
1552,40,1605,0.188839,0,2,53,2011-02-09,0.144283,2,0.494783,0.134783,3,1,1,0
1491,41,1538,0.221935,0,1,47,2011-02-10,0.149548,2,0.437391,0.144348,4,1,1,0
1597,42,1746,0.10855,0,1,149,2011-02-11,0.213509,2,0.506364,0.189091,5,1,1,0
1184,43,1472,0.203367,0,1,288,2011-02-12,0.232954,2,0.544167,0.2225,6,0,1,0
1192,44,1589,0.260883,0,1,397,2011-02-13,0.324113,2,0.457391,0.316522,0,0,1,0
1705,45,1913,0.417908,0,1,208,2011-02-14,0.39835,2,0.375833,0.415,1,1,1,0
1675,46,1815,0.291374,0,1,140,2011-02-15,0.254274,2,0.314348,0.266087,2,1,1,0
1897,47,2115,0.251791,0,1,218,2011-02-16,0.3162,2,0.423478,0.318261,3,1,1,0
2216,48,2475,0.230104,0,1,259,2011-02-17,0.428658,2,0.505,0.435833,4,1,1,0
2348,49,2927,0.264925,0,1,579,2011-02-18,0.511983,2,0.516667,0.521667,5,1,1,0
1103,50,1635,0.507463,0,1,532,2011-02-19,0.391404,2,0.187917,0.399167,6,0,1,0
1173,51,1812,0.223235,0,1,639,2011-02-20,0.27733,2,0.407826,0.285217,0,0,1,0
912,52,1107,0.307846,0,2,195,2011-02-21,0.284075,2,0.605,0.303333,1,0,1,1
1376,53,1450,0.195683,0,1,74,2011-02-22,0.186033,2,0.577778,0.182222,2,1,1,0
1778,54,1917,0.094113,0,1,139,2011-02-23,0.245717,2,0.423043,0.221739,3,1,1,0
1707,55,1807,0.250496,0,2,100,2011-02-24,0.289191,2,0.697391,0.295652,4,1,1,0
1341,56,1461,0.346539,0,2,120,2011-02-25,0.350461,2,0.712174,0.364348,5,1,1,0
1545,57,1969,0.186571,0,1,424,2011-02-26,0.282192,2,0.537917,0.2825,6,0,1,0
1708,58,2402,0.125248,0,1,694,2011-02-27,0.351109,2,0.68,0.343478,0,0,1,0
1365,59,1446,0.289686,0,2,81,2011-02-28,0.400118,2,0.876364,0.407273,1,1,1,0
1714,60,1851,0.216425,0,1,137,2011-03-01,0.263879,3,0.535,0.266667,2,1,1,0
1903,61,2134,0.307833,0,1,231,2011-03-02,0.320071,3,0.449583,0.335,3,1,1,0
1562,62,1685,0.225754,0,1,123,2011-03-03,0.200133,3,0.318333,0.198333,4,1,1,0
1730,63,1944,0.203346,0,2,214,2011-03-04,0.255679,3,0.610417,0.261667,5,1,1,0
1437,64,2077,0.251871,0,2,640,2011-03-05,0.378779,3,0.789167,0.384167,6,0,1,0
491,65,605,0.343287,0,2,114,2011-03-06,0.366252,3,0.948261,0.376522,0,0,1,0
1628,66,1872,0.341352,0,1,244,2011-03-07,0.238461,3,0.551304,0.261739,1,1,1,0
1817,67,2133,0.12065,0,1,316,2011-03-08,0.3024,3,0.420833,0.2925,2,1,1,0
1700,68,1891,0.22015,0,2,191,2011-03-09,0.286608,3,0.775417,0.295833,3,1,1,0
577,69,623,0.261877,0,3,46,2011-03-10,0.385668,3,0.0,0.389091,4,1,1,0
1730,70,1977,0.23297,0,2,247,2011-03-11,0.305,3,0.649565,0.316522,5,1,1,0
1408,71,2132,0.220775,0,1,724,2011-03-12,0.32575,3,0.594583,0.329167,6,0,1,0
1435,72,2417,0.270604,0,1,982,2011-03-13,0.380091,3,0.527391,0.384348,0,0,1,0
1687,73,2046,0.136926,0,1,359,2011-03-14,0.332,3,0.496957,0.325217,1,1,1,0
1767,74,2056,0.184309,0,2,289,2011-03-15,0.318178,3,0.655652,0.317391,2,1,1,0
1871,75,2192,0.203117,0,2,321,2011-03-16,0.36693,3,0.776522,0.365217,3,1,1,0
2320,76,2744,0.209579,0,1,424,2011-03-17,0.410333,3,0.602917,0.415,4,1,1,0
2355,77,3239,0.231017,0,1,884,2011-03-18,0.527009,3,0.525217,0.54,5,1,1,0
1693,78,3117,0.368167,0,1,1424,2011-03-19,0.466525,3,0.379167,0.4725,6,0,1,0
1424,79,2471,0.207721,0,1,1047,2011-03-20,0.32575,3,0.47375,0.3325,0,0,1,0
1676,80,2077,0.288783,0,2,401,2011-03-21,0.409735,3,0.737391,0.430435,1,1,2,0
2243,81,2703,0.22575,0,1,460,2011-03-22,0.440642,3,0.624583,0.441667,2,1,2,0
1918,82,2121,0.234261,0,2,203,2011-03-23,0.337939,3,0.839565,0.346957,3,1,2,0
1699,83,1865,0.243787,0,2,166,2011-03-24,0.270833,3,0.805833,0.285,4,1,2,0
1910,84,2210,0.230725,0,1,300,2011-03-25,0.256312,3,0.495,0.264167,5,1,2,0
1515,85,2496,0.209571,0,1,981,2011-03-26,0.257571,3,0.394167,0.265833,6,0,2,0
1221,86,1693,0.1843,0,2,472,2011-03-27,0.250339,3,0.493913,0.253043,0,0,2,0
1806,87,2028,0.212204,0,1,222,2011-03-28,0.257574,3,0.302174,0.264348,1,1,2,0
2108,88,2425,0.226996,0,1,317,2011-03-29,0.292908,3,0.314167,0.3025,2,1,2,0
1368,89,1536,0.172888,0,2,168,2011-03-30,0.29735,3,0.646667,0.3,3,1,2,0
1506,90,1685,0.217646,0,3,179,2011-03-31,0.257575,3,0.918333,0.268333,4,1,2,0
1920,91,2227,0.258708,0,2,307,2011-04-01,0.283454,4,0.68625,0.3,5,1,2,0
1354,92,2252,0.197146,0,2,898,2011-04-02,0.315637,4,0.65375,0.315,6,0,2,0
1598,93,3249,0.182213,0,1,1651,2011-04-03,0.378767,4,0.48,0.378333,0,0,2,0
2381,94,3115,0.385571,0,1,734,2011-04-04,0.542929,4,0.42625,0.573333,1,1,2,0
1628,95,1795,0.388067,0,2,167,2011-04-05,0.39835,4,0.642083,0.414167,2,1,2,0
2395,96,2808,0.263063,0,1,413,2011-04-06,0.387608,4,0.470833,0.390833,3,1,2,0
2570,97,3141,0.162312,0,1,571,2011-04-07,0.433696,4,0.602917,0.4375,4,1,2,0
1299,98,1471,0.226992,0,2,172,2011-04-08,0.324479,4,0.83625,0.335833,5,1,2,0
1576,99,2455,0.133083,0,2,879,2011-04-09,0.341529,4,0.8775,0.3425,6,0,2,0
1707,100,2895,0.146767,0,2,1188,2011-04-10,0.426737,4,0.8575,0.426667,0,0,2,0
2493,101,3348,0.324474,0,2,855,2011-04-11,0.565217,4,0.716956,0.595652,1,1,2,0
1777,102,2034,0.274879,0,2,257,2011-04-12,0.493054,4,0.739167,0.5025,2,1,2,0
1953,103,2162,0.250617,0,2,209,2011-04-13,0.417283,4,0.819167,0.4125,3,1,2,0
2738,104,3267,0.1107,0,1,529,2011-04-14,0.462742,4,0.540417,0.4675,4,1,2,0
2484,105,3126,0.226375,0,1,642,2011-04-15,0.441913,4,0.67125,0.446667,5,0,2,1
674,106,795,0.340808,0,3,121,2011-04-16,0.425492,4,0.888333,0.430833,6,0,2,0
2186,107,3744,0.303496,0,1,1558,2011-04-17,0.445696,4,0.479583,0.456667,0,0,2,0
2760,108,3429,0.163567,0,1,669,2011-04-18,0.503146,4,0.5425,0.5125,1,1,2,0
2795,109,3204,0.157971,0,2,409,2011-04-19,0.489258,4,0.665833,0.505833,2,1,2,0
3331,110,3944,0.241925,0,1,613,2011-04-20,0.564392,4,0.614167,0.595,3,1,2,0
3444,111,4189,0.325258,0,1,745,2011-04-21,0.453892,4,0.407083,0.459167,4,1,2,0
1506,112,1683,0.219521,0,2,177,2011-04-22,0.321954,4,0.729583,0.336667,5,1,2,0
2574,113,4036,0.230725,0,2,1462,2011-04-23,0.450121,4,0.887917,0.46,6,0,2,0
